,Houston House Price Index,Houston Consumer Price Index,Construction Materials Index,WTI Oil Price,Unemployment Rate,Interest Rate,Labor Force,Economic Conditions,Houston Population,Total Permit
0,95.88,125.3,120.4,21.54,5.7,9.25,2080995,-0.48,3884.8849999999998,15823.732
1,99.39,129.183,122.5,20.58,7.2,8.39,2135253,0.5,3989.7699999999995,16879.374
2,101.3,133.75,128.6,18.43,7.4,7.31,2174504,2.99,4075.5640000000003,17619.878
3,101.47,137.917,133.9,17.2,6.7,8.38,2206654,4.18,4153.355,19914.428
4,101.64,139.967,138.8,18.43,5.9,7.93,2235212,3.64,4227.5740000000005,19143.816
5,104.15,142.833,139.6,22.12,5.5,7.81,2256459,4.16,4314.589,20775.221
6,106.61,145.467,142.1,20.61,5.2,7.6,2310115,6.43,4407.21,28296.557
7,113.22,146.8,141.4,14.42,4.4,6.94,2364239,5.06,4513.913,42490.043
8,121.62,148.933,142.8,19.34,4.8,7.44,2396046,1.55,4622.856999999999,32070.271
9,129.89,154.45,144.1,30.38,4.2,8.05,2383277,4.12,4717.343,32114.305
10,138.66,158.8,142.8,25.98,4.6,6.97,2429437,-0.36,4828.686,33801.547999999995
11,144.43,159.36700000000002,144.0,26.18,6.0,6.54,2497511,-0.81,4956.303999999999,42385.712
12,149.93,163.88299999999998,147.1,31.08,6.7,5.83,2536155,0.15,5063.428,50586.822
13,155.58,169.733,161.5,41.51,6.1,5.84,2553321,2.93,5167.329999999999,49406.006
14,162.79,175.95,169.6,56.64,5.6,5.87,2592940,4.75,5275.835,55054.007
15,172.17,180.717,180.2,66.05,5.0,6.41,2659713,6.12,5459.808999999999,63223.981
16,180.17,184.132,183.2,72.34,4.2,6.34,2703120,4.22,5572.045,56074.961
17,185.14,189.957,196.4,99.67,4.7,6.03,2769258,0.17,5701.503000000001,38717.385
18,186.37,190.704,189.2,61.95,7.6,5.04,2831524,-5.56,5844.085000000001,24471.4
19,184.28,194.32,194.5,79.48,8.3,4.69,2970262,2.93,5947.419,24977.185
20,181.69,200.74599999999998,201.1,94.88,7.8,4.45,3041173,5.7,6057.946999999999,27731.438000000002
21,186.9,204.297,205.8,94.05,6.6,3.66,3112254,6.14,6183.726,39241.453
22,198.19,207.88,209.3,97.98,6.0,3.98,3182553,4.42,6329.553,45486.467
23,219.51,213.46400000000003,214.5,93.17,4.9,4.17,3239676,5.24,6496.862,57112.798
24,237.29,213.12900000000002,213.5,48.66,4.6,3.85,3255235,0.26,6664.187000000001,50412.214
25,248.28,216.644,213.9,43.29,5.3,3.65,3293063,-0.45,6798.009999999999,39749.522
26,261.17,220.959,221.6,50.8,5.0,3.99,3326152,3.4,6892.427,37671.934
